timestamp	episode	reward	steps	end_reason	route	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-05-02T21:24:12	1	-134.885093	932	arrived	None	0	20	0	0	0
2026-05-02T21:24:16	2	-106.625474	725	arrived	None	0	50	0	0	0
2026-05-02T21:24:18	3	14.496677	485	arrived	None	0	58	0	0	0
2026-05-02T21:24:22	4	-88.473708	761	arrived	None	0	90	0	0	0
2026-05-02T21:24:23	5	-27.411309	278	arrived	None	0	95	0	0	0
2026-05-02T21:24:25	6	52.974647	422	arrived	None	0	99	0	0	0
2026-05-02T21:24:27	7	23.299800	131	arrived	None	0	99	0	0	0
2026-05-02T21:24:31	8	-747.551299	952	arrived	None	0	142	0	0	0
2026-05-02T21:24:33	9	-170.112800	341	arrived	None	0	144	0	0	0
2026-05-02T21:24:37	10	-498.946353	845	arrived	None	0	182	0	0	0
2026-05-02T21:24:39	11	-87.574170	460	arrived	None	0	188	0	0	0
2026-05-02T21:24:41	12	82.566013	347	arrived	None	0	191	0	0	0
2026-05-02T21:24:43	13	-224.449781	428	arrived	None	0	197	0	0	0
2026-05-02T21:24:46	14	-61.225428	481	arrived	None	0	205	0	0	0
2026-05-02T21:24:49	15	-350.723568	754	arrived	None	0	238	0	0	0
2026-05-02T21:24:51	16	-66.017200	416	arrived	None	0	242	0	0	0
2026-05-02T21:24:53	17	165.736240	341	arrived	None	0	245	0	0	0
2026-05-02T21:24:56	18	-202.091868	710	arrived	None	0	279	0	0	0
2026-05-02T21:25:00	19	-171.487262	716	arrived	None	0	308	0	0	0
2026-05-02T21:25:02	20	4.888705	456	arrived	None	0	314	0	0	0
2026-05-02T21:25:04	21	-0.131404	430	arrived	None	0	320	0	0	0
2026-05-02T21:25:07	22	-84.952252	477	arrived	None	0	326	0	0	0
2026-05-02T21:25:08	23	111.564998	222	arrived	None	0	329	0	0	0
2026-05-02T21:25:10	24	24.609073	327	arrived	None	0	335	0	0	0
2026-05-02T21:25:12	25	-287.151838	363	arrived	None	0	337	0	0	0
2026-05-02T21:25:14	26	53.350706	327	arrived	None	0	341	0	0	0
2026-05-02T21:25:15	27	82.409780	102	arrived	None	0	341	0	0	0
2026-05-02T21:25:18	28	-26.998948	483	arrived	None	0	345	0	0	0
2026-05-02T21:25:20	29	33.509392	469	arrived	None	0	356	0	0	0
2026-05-02T21:25:23	30	23.954393	437	arrived	None	0	364	0	0	0
2026-05-02T21:25:24	31	16.620000	150	arrived	None	0	364	0	0	0
2026-05-02T21:25:26	32	-120.191886	464	arrived	None	0	375	0	0	0
2026-05-02T21:25:29	33	-141.454377	427	arrived	None	0	381	0	0	0
2026-05-02T21:25:32	34	-207.884044	641	arrived	None	0	391	0	0	0
2026-05-02T21:25:33	35	49.020840	207	arrived	None	0	394	0	0	0
2026-05-02T21:25:36	36	-208.169277	443	arrived	None	0	396	0	0	0
2026-05-02T21:25:38	37	145.459060	209	arrived	None	0	398	0	0	0
2026-05-02T21:25:41	38	-7.875261	556	arrived	None	0	403	0	0	0
2026-05-02T21:25:44	39	-439.241634	686	arrived	None	0	415	0	0	0
2026-05-02T21:25:46	40	60.279341	390	arrived	None	0	419	0	0	0
2026-05-02T21:25:49	41	-271.830971	576	arrived	None	0	428	0	0	0
2026-05-02T21:25:50	42	79.643303	120	arrived	None	0	428	0	0	0
2026-05-02T21:25:51	43	83.367020	96	arrived	None	0	428	0	0	0
2026-05-02T21:25:55	44	-385.409022	698	arrived	None	0	445	0	0	0
2026-05-02T21:25:56	45	-19.503050	116	arrived	None	0	445	0	0	0
2026-05-02T21:25:58	46	154.658802	300	arrived	None	0	447	0	0	0
2026-05-02T21:25:59	47	-25.563050	86	arrived	None	0	447	0	0	0
2026-05-02T21:26:02	48	-105.926783	456	arrived	None	0	457	0	0	0
2026-05-02T21:26:05	49	-326.634783	711	arrived	None	0	465	0	0	0
2026-05-02T21:26:07	50	-11.149869	510	arrived	None	0	471	0	0	0
2026-05-02T21:26:10	51	-78.949502	461	arrived	None	0	477	0	0	0
2026-05-02T21:26:12	52	-84.580492	484	arrived	None	0	484	0	0	0
2026-05-02T21:26:15	53	-66.718468	484	arrived	None	0	490	0	0	0
