timestamp	update_idx	episode_start	episode_end	episodes_in_update	rollout_steps	mean_reward	mean_steps	arrived	ego_crash	abnormal_end	timeout	spawn_failed	policy_loss	value_loss	entropy	loss	approx_kl	clip_fraction	explained_variance	epochs_ran	samples
2026-05-02T20:48:26	1	1	3	3	2142	-1145.972482	714.000000	3	0	0	0	0	-0.005740	3767.071784	1.607212	1883.514045	0.001117	0.000000	0.000455	4	2142
2026-05-02T20:48:38	2	4	8	5	2281	-562.359618	456.200000	5	0	0	0	0	-0.001299	3506.444729	1.608067	1753.204956	0.000256	0.000000	-0.000133	4	2281
2026-05-02T20:48:50	3	9	13	5	2111	-848.309897	422.200000	5	0	0	0	0	0.003857	5954.618829	1.606677	2977.297133	0.000176	0.000000	0.000003	4	2111
