timestamp	update_idx	episode_start	episode_end	episodes_in_update	rollout_steps	mean_reward	mean_steps	arrived	ego_crash	abnormal_end	timeout	spawn_failed	policy_loss	value_loss	entropy	loss	approx_kl	clip_fraction	explained_variance	epochs_ran	samples
2026-05-02T20:04:03	1	1	3	3	2142	-1145.972482	714.000000	3	0	0	0	0	-0.005740	3767.071784	1.607212	1883.514045	0.001117	0.000000	0.000455	4	2142
2026-05-02T20:04:15	2	4	8	5	2281	-562.359618	456.200000	5	0	0	0	0	-0.001299	3506.444729	1.608067	1753.204956	0.000256	0.000000	-0.000133	4	2281
2026-05-02T20:04:26	3	9	13	5	2111	-848.309897	422.200000	5	0	0	0	0	0.003857	5954.618829	1.606677	2977.297133	0.000176	0.000000	0.000003	4	2111
2026-05-02T20:04:39	4	14	18	5	2588	-774.547170	517.600000	5	0	0	0	0	0.004443	4083.981462	1.604599	2041.979109	0.000318	0.000000	-0.000088	4	2588
2026-05-02T20:04:51	5	19	23	5	2258	-849.956085	451.600000	5	0	0	0	0	-0.000480	6011.941840	1.600754	3005.954319	0.000090	0.000000	-0.001868	4	2258
2026-05-02T20:05:03	6	24	29	6	2175	-725.357278	362.500000	6	0	0	0	0	-0.002020	5928.538317	1.599328	2964.251085	0.000006	0.000000	-0.002179	4	2175
2026-05-02T20:05:14	7	30	35	6	2082	-301.786914	347.000000	6	0	0	0	0	0.009940	3080.000529	1.599246	1539.994202	0.000044	0.000000	0.004442	4	2082
2026-05-02T20:05:26	8	36	40	5	2310	-1180.087153	462.000000	5	0	0	0	0	-0.026388	7974.228375	1.600138	3987.071716	0.000025	0.000000	0.000326	4	2310
2026-05-02T20:05:39	9	41	47	7	2054	-831.727797	293.428571	7	0	0	0	0	0.002058	8831.918349	1.598444	4415.945177	0.000048	0.000000	0.009323	4	2054
2026-05-02T20:05:46	10	48	50	3	1413	-756.604127	471.000000	3	0	0	0	0	-0.004129	4738.226461	1.597733	2369.093185	0.000003	0.000000	0.024793	4	1413
2026-05-02T20:05:57	11	51	55	5	2157	-888.564906	431.400000	5	0	0	0	0	0.001808	6164.181749	1.597574	3082.076809	0.000025	0.000000	0.009679	4	2157
2026-05-02T20:06:11	12	56	63	8	2150	-126.529180	268.750000	8	0	0	0	0	-0.003041	3352.132060	1.594920	1676.046997	0.000209	0.000000	0.035405	4	2150
2026-05-02T20:06:22	13	64	67	4	2081	-1630.448495	520.250000	4	0	0	0	0	-0.003742	9257.789863	1.593731	4628.875115	0.000081	0.000000	0.044026	4	2081
2026-05-02T20:06:35	14	68	73	6	2353	-1184.862019	392.166667	6	0	0	0	0	0.009270	8353.085681	1.593883	4176.536139	0.000006	0.000000	0.046781	4	2353
2026-05-02T20:06:50	15	74	81	8	2546	-361.513896	318.250000	8	0	0	0	0	-0.000688	4478.275391	1.592300	2239.121130	0.000059	0.000000	0.054502	4	2546
2026-05-02T20:07:04	16	82	89	8	2114	-435.381103	264.250000	8	0	0	0	0	0.002402	4211.967767	1.589566	2105.970412	0.000040	0.000000	0.121782	4	2114
2026-05-02T20:07:18	17	90	97	8	2195	-177.964598	274.375000	8	0	0	0	0	0.001432	3338.216058	1.586320	1669.093601	0.000005	0.000000	0.199330	4	2195
2026-05-02T20:07:24	18	98	100	3	1016	-167.254538	338.666667	3	0	0	0	0	-0.000540	3398.571075	1.586205	1699.269127	0.000025	0.000000	0.138878	4	1016
2026-05-02T20:07:38	19	101	108	8	2107	-474.526208	263.375000	8	0	0	0	0	0.003478	6011.589613	1.588869	3005.782423	0.000031	0.000000	0.204924	4	2107
2026-05-02T20:07:53	20	109	118	10	2071	-264.590126	207.100000	9	1	0	0	0	-0.004711	4410.198534	1.587247	2205.078684	0.000037	0.000000	0.255007	4	2071
2026-05-02T20:08:06	21	119	125	7	2168	-440.521981	309.714286	7	0	0	0	0	0.000268	4762.091960	1.586324	2381.030382	0.000028	0.000000	0.230241	4	2168
2026-05-02T20:08:19	22	126	131	6	2201	-423.399777	366.833333	6	0	0	0	0	-0.000543	3495.533156	1.584667	1747.750166	0.000067	0.000000	0.295578	4	2201
2026-05-02T20:08:31	23	132	136	5	2177	-484.741562	435.400000	5	0	0	0	0	-0.003603	3802.170397	1.585038	1901.065711	0.000067	0.000000	0.299134	4	2177
2026-05-02T20:08:45	24	137	145	9	2197	-280.405534	244.111111	9	0	0	0	0	-0.001080	4799.835198	1.580404	2399.900645	0.000069	0.000000	0.356158	4	2197
2026-05-02T20:08:54	25	146	150	5	1277	-258.980094	255.400000	4	1	0	0	0	-0.000158	4227.268420	1.579668	2113.618243	0.000035	0.000000	0.377563	4	1277
2026-05-02T20:09:09	26	151	158	8	2540	-698.429448	317.500000	8	0	0	0	0	-0.000239	6230.445740	1.578299	3115.206775	0.000103	0.000000	0.376104	4	2540
2026-05-02T20:09:21	27	159	164	6	2125	-754.307980	354.166667	6	0	0	0	0	0.001985	6617.886678	1.572054	3308.929667	0.000055	0.000000	0.405053	4	2125
2026-05-02T20:09:34	28	165	172	8	2125	-605.348379	265.625000	8	0	0	0	0	0.012548	7125.875936	1.570665	3562.934896	0.000008	0.000000	0.413116	4	2125
2026-05-02T20:09:48	29	173	180	8	2082	-443.672235	260.250000	8	0	0	0	0	0.013209	7152.534532	1.565151	3576.264838	0.000083	0.000000	0.458568	4	2082
2026-05-02T20:10:03	30	181	189	9	2337	-691.290466	259.666667	9	0	0	0	0	0.003820	6868.921045	1.562180	3434.448718	0.000050	0.000000	0.489083	4	2337
2026-05-02T20:10:18	31	190	198	9	2269	-560.503845	252.111111	9	0	0	0	0	-0.000906	6325.080688	1.565667	3162.523797	0.000250	0.000000	0.507981	4	2269
2026-05-02T20:10:21	32	199	200	2	478	106.886573	239.000000	2	0	0	0	0	-0.000841	5560.071777	1.566609	2780.019409	0.000008	0.000000	0.381421	4	478
2026-05-02T20:10:38	33	201	211	11	2228	-90.911305	202.545455	11	0	0	0	0	0.000300	5348.493415	1.570642	2674.231371	0.000038	0.000000	0.479380	4	2228
2026-05-02T20:10:53	34	212	220	9	2591	-187.133675	287.888889	9	0	0	0	0	-0.016899	5530.040106	1.562317	2764.987521	0.000522	0.000000	0.467038	4	2591
2026-05-02T20:11:08	35	221	229	9	2269	-35.690731	252.111111	9	0	0	0	0	-0.001410	4058.870592	1.549327	2029.418406	0.000306	0.000000	0.550794	4	2269
2026-05-02T20:11:23	36	230	239	10	2102	-525.922231	210.200000	9	1	0	0	0	0.001323	7293.457275	1.548024	3646.714518	0.000093	0.000000	0.573587	4	2102
2026-05-02T20:11:36	37	240	246	7	2086	-900.011469	298.000000	7	0	0	0	0	0.000103	8323.096530	1.554938	4161.532756	0.000117	0.000000	0.568706	4	2086
2026-05-02T20:11:42	38	247	250	4	978	-860.739155	244.500000	4	0	0	0	0	0.000961	8829.008423	1.548956	4414.489502	0.000004	0.000000	0.569319	4	978
2026-05-02T20:11:55	39	251	257	7	2154	-722.169961	307.714286	7	0	0	0	0	-0.002028	8451.603733	1.555960	4225.784200	0.000029	0.000000	0.590203	4	2154
2026-05-02T20:12:10	40	258	267	10	2063	-348.381255	206.300000	9	1	0	0	0	0.000022	7970.705499	1.557839	3985.337151	0.000033	0.000000	0.530935	4	2063
2026-05-02T20:12:25	41	268	276	9	2116	-341.498605	235.111111	9	0	0	0	0	0.001818	7352.864597	1.556209	3676.418471	0.000013	0.000000	0.605043	4	2116
2026-05-02T20:12:38	42	277	284	8	2081	-784.865779	260.125000	8	0	0	0	0	-0.012593	9080.383152	1.555913	4540.163323	0.000041	0.000000	0.571700	4	2081
2026-05-02T20:12:53	43	285	293	9	2205	-482.187514	245.000000	9	0	0	0	0	0.000879	7846.393989	1.560560	3923.182271	0.000339	0.000000	0.602176	4	2205
2026-05-02T20:13:04	44	294	300	7	1616	-209.758202	230.857143	7	0	0	0	0	-0.005619	6932.516166	1.570614	3466.236808	0.000041	0.000000	0.569026	4	1616
2026-05-02T20:13:18	45	301	308	8	2322	-362.525333	290.250000	8	0	0	0	0	-0.008665	6817.336230	1.562846	3408.643811	0.000154	0.000000	0.601379	4	2322
2026-05-02T20:13:30	46	309	315	7	2124	-555.901124	303.428571	7	0	0	0	0	-0.003037	6347.315769	1.563799	3173.639221	0.000038	0.000000	0.619631	4	2124
2026-05-02T20:13:43	47	316	322	7	2141	-354.999058	305.857143	7	0	0	0	0	0.002150	6590.042792	1.563084	3295.007928	0.000141	0.000000	0.632394	4	2141
