timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-25T22:58:33	0	-130.634060	134	arrived	0	0	0	0	0
2026-04-25T22:58:36	1	-753.211620	543	arrived	0	6	0	0	0
2026-04-25T22:58:40	2	-1106.024933	722	arrived	0	33	0	0	0
2026-04-25T22:58:43	3	-642.763100	359	arrived	0	37	0	0	0
2026-04-25T22:58:50	4	-950.039305	734	arrived	0	69	0	0	0
2026-04-25T22:58:53	5	-617.100115	283	arrived	0	71	0	0	0
2026-04-25T22:58:57	6	-780.614320	452	arrived	0	79	0	0	0
2026-04-25T22:58:58	7	47.169340	95	arrived	0	79	0	0	0
2026-04-25T22:59:02	8	-872.231188	351	arrived	0	85	0	0	0
2026-04-25T22:59:06	9	-732.996100	572	arrived	0	89	0	0	0
2026-04-25T22:59:10	10	-447.082220	468	arrived	0	96	0	0	0
2026-04-25T22:59:14	11	-714.482873	459	arrived	0	104	0	0	0
2026-04-25T22:59:18	12	-957.794939	424	arrived	0	110	0	0	0
2026-04-25T22:59:21	13	-1210.714201	398	arrived	0	114	0	0	0
2026-04-25T22:59:24	14	-494.678884	328	arrived	0	120	0	0	0
2026-04-25T22:59:26	15	-485.381006	283	arrived	0	122	0	0	0
2026-04-25T22:59:28	16	-22.454100	170	arrived	0	122	0	0	0
2026-04-25T22:59:30	17	33.721260	115	arrived	0	122	0	0	0
2026-04-25T22:59:32	18	35.858477	208	arrived	0	124	0	0	0
2026-04-25T22:59:33	19	-44.348100	114	arrived	0	124	0	0	0
2026-04-25T22:59:36	20	-77.009700	294	arrived	0	126	0	0	0
2026-04-25T22:59:40	21	-1351.631028	441	arrived	0	131	0	0	0
2026-04-25T22:59:42	22	-20.888580	132	arrived	0	131	0	0	0
2026-04-25T22:59:45	23	8.420900	319	arrived	0	136	0	0	0
2026-04-25T22:59:47	24	32.825953	208	arrived	0	138	0	0	0
2026-04-25T22:59:51	25	-521.826880	406	arrived	0	142	0	0	0
2026-04-25T22:59:54	26	-448.816266	298	arrived	0	144	0	0	0
2026-04-25T22:59:58	27	-542.936578	439	arrived	0	150	0	0	0
2026-04-25T23:00:00	28	-95.583920	166	arrived	0	152	0	0	0
2026-04-25T23:00:02	29	-236.194661	177	arrived	0	152	0	0	0
2026-04-25T23:00:08	30	-1162.907454	685	arrived	0	160	0	0	0
2026-04-25T23:00:12	31	-23.993607	377	arrived	0	167	0	0	0
2026-04-25T23:00:13	32	19.489720	134	arrived	0	167	0	0	0
2026-04-25T23:00:15	33	-126.107100	183	ego_crash	1	168	1	0	0
2026-04-25T23:00:18	34	-40.026760	314	arrived	1	172	1	0	0
2026-04-25T23:00:21	35	-187.727640	331	arrived	1	177	1	0	0
2026-04-25T23:00:22	36	6.374520	93	arrived	1	177	1	0	0
2026-04-25T23:00:26	37	-358.629228	396	arrived	1	180	1	0	0
2026-04-25T23:00:27	38	43.415177	155	arrived	1	180	1	0	0
2026-04-25T23:00:30	39	-791.906840	369	arrived	1	185	1	0	0
2026-04-25T23:00:33	40	13.991640	254	arrived	1	189	1	0	0
2026-04-25T23:00:34	41	-19.906740	93	arrived	1	189	1	0	0
2026-04-25T23:00:36	42	44.793986	209	arrived	1	191	1	0	0
2026-04-25T23:00:39	43	35.178436	294	arrived	1	195	1	0	0
2026-04-25T23:00:43	44	-469.272920	500	arrived	1	201	1	0	0
2026-04-25T23:00:46	45	-4.331452	360	arrived	1	208	1	0	0
2026-04-25T23:00:48	46	-41.806105	243	arrived	1	210	1	0	0
2026-04-25T23:00:52	47	-112.277179	364	arrived	1	217	1	0	0
2026-04-25T23:00:54	48	105.656860	165	arrived	1	217	1	0	0
2026-04-25T23:00:58	49	-328.174286	442	arrived	1	221	1	0	0
2026-04-25T23:01:01	50	7.064260	287	arrived	1	224	1	0	0
2026-04-25T23:01:03	51	179.811638	224	arrived	1	227	1	0	0
2026-04-25T23:01:06	52	58.834251	271	arrived	1	229	1	0	0
2026-04-25T23:01:07	53	74.011040	111	arrived	1	229	1	0	0
2026-04-25T23:01:09	54	97.502869	167	arrived	1	229	1	0	0
2026-04-25T23:01:12	55	-57.080100	302	arrived	1	238	1	0	0
2026-04-25T23:01:15	56	-56.437384	391	arrived	1	244	1	0	0
2026-04-25T23:01:20	57	-530.276847	537	arrived	1	249	1	0	0
2026-04-25T23:01:24	58	-573.831874	453	arrived	1	258	1	0	0
2026-04-25T23:01:26	59	68.940827	218	arrived	1	260	1	0	0
2026-04-25T23:01:30	60	-465.241918	433	arrived	1	264	1	0	0
2026-04-25T23:01:32	61	162.112620	224	arrived	1	266	1	0	0
2026-04-25T23:01:36	62	-106.419782	433	arrived	1	272	1	0	0
2026-04-25T23:01:37	63	96.597840	82	arrived	1	272	1	0	0
2026-04-25T23:01:39	64	119.552920	212	arrived	1	275	1	0	0
2026-04-25T23:01:43	65	-129.974180	432	arrived	1	280	1	0	0
2026-04-25T23:01:44	66	98.495300	82	arrived	1	280	1	0	0
2026-04-25T23:01:46	67	134.964880	207	arrived	1	282	1	0	0
2026-04-25T23:01:51	68	-274.315439	520	arrived	1	290	1	0	0
2026-04-25T23:01:54	69	-508.629940	325	arrived	1	294	1	0	0
2026-04-25T23:01:55	70	-43.602197	94	arrived	1	294	1	0	0
2026-04-25T23:02:01	71	-675.362940	588	arrived	1	299	1	0	0
2026-04-25T23:02:03	72	161.549200	244	arrived	1	301	1	0	0
2026-04-25T23:02:04	73	110.870813	140	arrived	1	301	1	0	0
2026-04-25T23:02:07	74	138.555740	221	arrived	1	305	1	0	0
2026-04-25T23:02:09	75	53.535900	191	arrived	1	307	1	0	0
2026-04-25T23:02:13	76	-205.433813	506	arrived	1	314	1	0	0
2026-04-25T23:02:15	77	95.076560	102	arrived	1	314	1	0	0
2026-04-25T23:02:17	78	198.351000	173	arrived	1	314	1	0	0
2026-04-25T23:02:19	79	142.185480	228	arrived	1	316	1	0	0
2026-04-25T23:02:21	80	185.577400	253	arrived	1	319	1	0	0
2026-04-25T23:02:26	81	-91.204920	507	arrived	1	323	1	0	0
