timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-03-30T15:01:37	73	157.435680	219	arrived	1	167	1	1	0
2026-03-30T15:01:44	74	-318.684650	600	arrived	1	171	1	1	0
2026-03-30T15:01:47	75	162.197553	225	arrived	1	172	1	1	0
2026-03-30T15:01:52	76	140.374424	434	arrived	1	174	1	1	0
2026-03-30T15:01:55	77	130.746340	230	arrived	1	175	1	1	0
2026-03-30T15:02:01	78	79.551840	439	arrived	1	178	1	1	0
2026-03-30T15:02:07	79	121.637800	440	arrived	1	181	1	1	0
2026-03-30T15:02:10	80	129.550827	240	arrived	1	182	1	1	0
2026-03-30T15:02:13	81	150.316560	223	arrived	1	183	1	1	0
2026-03-30T15:02:21	82	-6.699350	619	arrived	1	188	1	1	0
2026-03-30T15:02:24	83	154.018640	241	arrived	1	190	1	1	0
2026-03-30T15:02:27	84	146.945260	241	arrived	1	191	1	1	0
2026-03-30T15:02:33	85	-307.957359	565	arrived	1	194	1	1	0
2026-03-30T15:02:36	86	175.844780	220	arrived	1	195	1	1	0
2026-03-30T15:02:41	87	185.521271	436	arrived	1	197	1	1	0
2026-03-30T15:02:46	88	148.534400	440	arrived	1	199	1	1	0
2026-03-30T15:02:49	89	164.246780	226	arrived	1	200	1	1	0
2026-03-30T15:02:52	90	158.744000	221	arrived	1	201	1	1	0
2026-03-30T15:02:58	91	193.954010	529	arrived	1	206	1	1	0
2026-03-30T15:03:01	92	157.232580	217	arrived	1	207	1	1	0
2026-03-30T15:03:04	93	147.685480	240	arrived	1	210	1	1	0
2026-03-30T15:03:06	94	176.913420	173	arrived	1	210	1	1	0
2026-03-30T15:03:09	95	166.245120	230	arrived	1	211	1	1	0
2026-03-30T15:03:15	96	153.301922	524	arrived	1	215	1	1	0
2026-03-30T15:03:17	97	171.691971	174	arrived	1	215	1	1	0
2026-03-30T15:03:24	98	78.843479	526	arrived	1	218	1	1	0
2026-03-30T15:03:26	99	169.452020	222	arrived	1	219	1	1	0
2026-03-30T15:03:33	100	105.168360	558	arrived	1	221	1	1	0
2026-03-30T15:03:35	101	162.244220	223	arrived	1	222	1	1	0
2026-03-30T15:03:38	102	167.512960	176	arrived	1	222	1	1	0
2026-03-30T15:03:40	103	172.520180	221	arrived	1	223	1	1	0
