timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-28T16:14:46	0	-1169.782860	500	timeout	0	3	0	0	0
2026-04-28T16:14:48	1	-371.564033	500	timeout	0	6	0	0	0
2026-04-28T16:14:50	2	-1162.280526	500	timeout	0	9	0	0	0
2026-04-28T16:14:52	3	-518.083100	500	timeout	0	13	0	0	0
2026-04-28T16:14:55	4	-350.902007	500	timeout	0	19	0	0	0
2026-04-28T16:14:57	5	-195.927100	455	ego_crash	1	21	1	1	0
2026-04-28T16:14:59	6	-446.318100	500	timeout	1	24	1	1	0
2026-04-28T16:15:01	7	-94.152447	500	timeout	1	26	1	1	0
2026-04-28T16:15:03	8	-838.869376	478	arrived	1	30	1	1	0
2026-04-28T16:15:06	9	-366.573411	500	timeout	1	34	1	1	0
2026-04-28T16:15:08	10	-921.895336	500	timeout	1	37	1	1	0
2026-04-28T16:15:10	11	-119.576040	414	arrived	1	39	1	1	0
2026-04-28T16:15:12	12	-1007.575151	500	timeout	1	41	1	1	0
2026-04-28T16:15:14	13	-577.822553	500	timeout	1	44	1	1	0
2026-04-28T16:15:17	14	14.008380	468	arrived	1	48	1	1	0
2026-04-28T16:15:19	15	-633.272660	500	timeout	1	52	1	1	0
2026-04-28T16:15:21	16	-749.505498	500	timeout	1	55	1	1	0
2026-04-28T16:15:24	17	-868.755408	500	timeout	1	58	1	1	0
2026-04-28T16:15:26	18	-333.950340	500	timeout	1	61	1	1	0
2026-04-28T16:15:28	19	-792.664837	500	timeout	1	64	1	1	0
2026-04-28T16:15:30	20	-291.921980	500	timeout	1	68	1	1	0
2026-04-28T16:15:34	21	-145.093100	500	timeout	1	70	1	1	0
2026-04-28T16:15:36	22	-589.641308	500	timeout	1	73	1	1	0
2026-04-28T16:15:38	23	-349.774251	500	timeout	1	77	1	1	0
2026-04-28T16:15:40	24	-715.230100	500	timeout	1	81	1	1	0
