timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-28T15:28:10	0	-862.653719	500	timeout	0	3	0	0	0
2026-04-28T15:28:12	1	-247.681100	500	timeout	0	7	0	0	0
2026-04-28T15:28:14	2	-631.823100	500	timeout	0	11	0	0	0
2026-04-28T15:28:17	3	-605.631149	500	timeout	0	15	0	0	0
2026-04-28T15:28:19	4	-304.648990	488	arrived	0	18	0	0	0
2026-04-28T15:28:21	5	-524.986520	489	arrived	0	22	0	0	0
2026-04-28T15:28:24	6	-1446.148822	500	timeout	0	25	0	0	0
2026-04-28T15:28:26	7	-596.509588	431	arrived	0	28	0	0	0
2026-04-28T15:28:28	8	-486.365179	500	timeout	0	31	0	0	0
2026-04-28T15:28:31	9	-946.798441	500	timeout	0	34	0	0	0
2026-04-28T15:28:34	10	-370.432650	463	arrived	0	36	0	0	0
2026-04-28T15:28:36	11	-984.291240	500	timeout	0	39	0	0	0
2026-04-28T15:28:38	12	-697.480923	500	timeout	0	42	0	0	0
2026-04-28T15:28:41	13	-795.096100	500	timeout	0	45	0	0	0
2026-04-28T15:28:43	14	-593.882940	500	timeout	0	49	0	0	0
2026-04-28T15:28:46	15	-446.797689	470	arrived	0	52	0	0	0
2026-04-28T15:28:48	16	-722.314082	500	timeout	0	57	0	0	0
2026-04-28T15:28:50	17	-986.412100	500	timeout	0	60	0	0	0
2026-04-28T15:28:53	18	-1162.772270	500	timeout	0	64	0	0	0
2026-04-28T15:28:55	19	-879.660201	424	arrived	0	66	0	0	0
2026-04-28T15:28:57	20	-254.682467	437	arrived	0	69	0	0	0
2026-04-28T15:29:00	21	-1030.572083	500	timeout	0	73	0	0	0
2026-04-28T15:29:01	22	139.645840	218	arrived	0	74	0	0	0
2026-04-28T15:29:04	23	-1835.208136	500	timeout	0	79	0	0	0
2026-04-28T15:29:06	24	-772.610712	500	timeout	0	83	0	0	0
2026-04-28T15:29:09	25	-1572.130590	500	timeout	0	87	0	0	0
2026-04-28T15:29:12	26	-166.456424	500	timeout	0	90	0	0	0
2026-04-28T15:29:14	27	-171.843372	447	arrived	0	92	0	0	0
2026-04-28T15:29:16	28	129.761820	225	arrived	0	93	0	0	0
2026-04-28T15:29:17	29	39.641758	287	arrived	0	93	0	0	0
2026-04-28T15:29:19	30	120.549100	247	arrived	0	94	0	0	0
2026-04-28T15:29:21	31	-69.594190	440	arrived	0	99	0	0	0
