timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-22T18:05:45	0	-802,940720	556	ego_crash	1	8	1	0	0
2026-04-22T18:05:47	1	-49.080920	227	arrived	1	11	1	0	0
2026-04-22T18:05:50	2	-652.484090	465	arrived	1	20	1	0	0
2026-04-22T18:05:54	3	-92.523767	481	arrived	1	29	1	0	0
2026-04-22T18:05:58	4	-84.805540	510	arrived	1	35	1	0	0
2026-04-22T18:05:59	5	22.088870	159	arrived	1	35	1	0	0
2026-04-22T18:06:08	6	-1706.047000	936	arrived	1	70	1	0	0
2026-04-22T18:06:12	7	-300.004791	479	arrived	1	78	1	0	0
2026-04-22T18:06:16	8	-876.165089	574	arrived	1	84	1	0	0
2026-04-22T18:06:22	9	-462.886360	498	arrived	1	90	1	0	0
2026-04-22T18:06:25	10	-316.660100	357	arrived	1	92	1	0	0
2026-04-22T18:06:30	11	-1453.245391	445	arrived	1	96	1	0	0
2026-04-22T18:06:36	12	-272.264531	458	arrived	1	108	1	0	0
2026-04-22T18:06:41	13	-1525.097680	608	arrived	1	115	1	0	0
2026-04-22T18:06:46	14	-830.297648	558	arrived	1	121	1	0	0
2026-04-22T18:06:50	15	-937.380845	321	arrived	1	123	1	0	0
2026-04-22T18:06:52	16	28.117771	319	arrived	1	128	1	0	0
2026-04-22T18:06:56	17	-727.104026	523	arrived	1	137	1	0	0
2026-04-22T18:07:00	18	52.947580	330	arrived	1	142	1	0	0
2026-04-22T18:07:03	19	88.896840	327	arrived	1	144	1	0	0
2026-04-22T18:07:04	20	-5.676100	150	arrived	1	144	1	0	0
2026-04-22T18:07:07	21	19.460900	319	arrived	1	149	1	0	0
2026-04-22T18:07:08	22	-25.719080	115	arrived	1	149	1	0	0
2026-04-22T18:07:12	23	65.213920	351	arrived	1	153	1	0	0
2026-04-22T18:07:15	24	-237.558936	343	arrived	1	155	1	0	0
2026-04-22T18:07:17	25	108.732380	231	arrived	1	158	1	0	0
2026-04-22T18:07:19	26	118.266820	249	arrived	1	160	1	0	0
2026-04-22T18:07:20	27	51.634797	92	arrived	1	160	1	0	0
2026-04-22T18:07:23	28	-711.880315	366	arrived	1	164	1	0	0
2026-04-22T18:07:27	29	-262.287753	302	arrived	1	169	1	0	0
2026-04-22T18:07:30	30	-65.591110	375	arrived	1	171	1	0	0
2026-04-22T18:07:32	31	51.674313	279	arrived	1	173	1	0	0
2026-04-22T18:07:33	32	4.647720	108	arrived	1	173	1	0	0
2026-04-22T18:07:37	33	-950.201734	449	arrived	1	180	1	0	0
2026-04-22T18:07:41	34	-246.134004	433	arrived	1	184	1	0	0
2026-04-22T18:07:43	35	-9.750100	141	arrived	1	184	1	0	0
2026-04-22T18:07:45	36	27.250140	133	arrived	1	184	1	0	0
2026-04-22T18:07:47	37	-100.826152	358	arrived	1	192	1	0	0
2026-04-22T18:07:49	38	56.530620	113	arrived	1	192	1	0	0
2026-04-22T18:07:52	39	11.516505	366	arrived	1	194	1	0	0
2026-04-22T18:07:54	40	32.328160	238	arrived	1	198	1	0	0
2026-04-22T18:07:57	41	32.347020	169	arrived	1	198	1	0	0
2026-04-22T18:07:59	42	90.551560	244	arrived	1	203	1	0	0
2026-04-22T18:08:02	43	-1235.018721	451	arrived	1	206	1	0	0
2026-04-22T18:08:04	44	84.122080	188	arrived	1	208	1	0	0
2026-04-22T18:08:11	45	-456.688960	591	arrived	1	215	1	0	0
2026-04-22T18:08:15	46	-268.900411	509	arrived	1	223	1	0	0
2026-04-22T18:08:19	47	6.520740	532	arrived	1	229	1	0	0
2026-04-22T18:08:23	48	-289.236409	436	arrived	1	237	1	0	0
2026-04-22T18:08:25	49	29.995550	147	arrived	1	237	1	0	0
2026-04-22T18:08:26	50	4.627200	184	arrived	1	239	1	0	0
