[2026-04-25T21:12:17.904392+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:12:18.736714+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=454.00, stage=move.
[2026-04-25T21:12:20.354585+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:20.364262+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:20.691197+01:00] Warning: Vehicle 'Costa_1_17'; side collision with vehicle 'Costa_1_15', lane=':b3_0_1', gap=-1.00, time=152.00, stage=laneChange.
[2026-04-25T21:12:21.947708+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=68.00, stage=move.
[2026-04-25T21:12:21.990512+01:00] Warning: Vehicle 'Pertini_20_7'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=80.00, stage=move.
[2026-04-25T21:12:21.997674+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_11', lane=':b4_3_0', gap=-1.00, time=82.00, stage=move.
[2026-04-25T21:12:22.009651+01:00] Warning: Vehicle 'Pertini_20_15'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=85.00, stage=move.
[2026-04-25T21:12:22.017469+01:00] Warning: Vehicle 'Pertini_20_14'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=87.00, stage=move.
[2026-04-25T21:12:22.029073+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_16', lane=':b4_3_0', gap=-1.00, time=90.00, stage=move.
[2026-04-25T21:12:22.142443+01:00] Warning: Vehicle 'Pertini_20_27'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=115.00, stage=move.
[2026-04-25T21:12:22.151195+01:00] Warning: Vehicle 'Pertini_20_28'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=117.00, stage=move.
[2026-04-25T21:12:22.442873+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:22.690857+01:00] Warning: Vehicle 'Pertini_20_60'; junction collision with vehicle 'Prati_Capraia_30_6', lane=':b4_9_1', gap=-1.00, time=227.00, stage=move.
[2026-04-25T21:12:24.084696+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=61.00, stage=move.
[2026-04-25T21:12:24.093546+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=64.00, stage=move.
[2026-04-25T21:12:24.431582+01:00] Warning: Vehicle 'Costa_1_15'; side collision with vehicle 'Costa_1_17', lane=':b3_2_0', gap=-1.00, time=151.00, stage=laneChange.
[2026-04-25T21:12:24.575695+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=184.00, stage=move.
[2026-04-25T21:12:26.421904+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:26.431684+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:26.749156+01:00] Warning: Vehicle 'Costa_1_15'; side collision with vehicle 'Costa_1_17', lane=':b3_2_0', gap=-1.00, time=151.00, stage=laneChange.
[2026-04-25T21:12:26.905848+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=185.00, stage=move.
[2026-04-25T21:12:27.929028+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:12:28.578911+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=454.00, stage=move.
[2026-04-25T21:12:29.952414+01:00] Warning: Vehicle 'bus_12_0'; junction collision with vehicle 'Pertini_20_1', lane=':b4_3_0', gap=-1.00, time=62.00, stage=move.
[2026-04-25T21:12:30.445230+01:00] Warning: Vehicle 'Turati_10_1'; junction collision with vehicle 'bus_140_120', lane=':a27_10_0', gap=-1.00, time=185.00, stage=move.
[2026-04-25T21:12:31.401769+01:00] Warning: Vehicle 'bus_6_60'; junction collision with vehicle 'Pertini_73_131', lane=':b18_5_0', gap=-1.00, time=351.00, stage=move.
[2026-04-25T21:12:32.069772+01:00] Warning: Vehicle 'Costa_200_104'; junction collision with vehicle 'bus_140_360', lane=':a27_10_0', gap=-1.00, time=454.00, stage=move.
[2026-04-25T21:12:33.438612+01:00] Warning: Vehicle 'Pertini_20_2'; junction collision with vehicle 'bus_12_0', lane=':b4_9_1', gap=-1.00, time=65.00, stage=move.
[2026-04-25T21:12:33.494810+01:00] Warning: Vehicle 'Pertini_20_12'; junction collision with vehicle 'Prati_Capraia_30_6', lane=':b4_9_1', gap=-1.00, time=83.00, stage=move.
